company,date,time,language,liked,retweet,id,text
$SPX,2016-10-20,Wed Oct 19 02:57:27,en,74,81,788574753967800320,"For the first time since 2011, the CRB  Commodity Index is outpacing the S&amp;P 500 over the prior 9 months. $CRB $SPX https://t.co/VsKt2g3BvN"
$SPX,2016-10-20,Sun Oct 16 12:01:11,en,39,44,787624427521511425,The trailing 12-month P/E ratio for $SPX is 19.4. https://t.co/WbpZoDLNBw https://t.co/YpmSfpukCW
$SPX,2016-10-20,Mon Oct 17 01:15:16,en,35,53,787824264351195137,The forward 12-month P/E ratio for $SPX is 16.4. https://t.co/WbpZoDLNBw https://t.co/mJosHxeY85
$SPX,2016-10-20,Thu Oct 20 23:56:14,en,0,10,789253927623495680,RT @AdamKoos: $SPX nowhere since ATH. Bearish rising wedge post-breakdown is temperamental. Bearish descending triangle in play https://t.c…
$SPX,2016-10-20,Thu Oct 20 23:49:54,en,0,1,789252333968523265,RT @ClueLess8fr: $ES_F $SPY $SPX Majority BEARISH in the Caves &amp; Hidin' = WAVE1 Higher ...then SELL/SHORT https://t.co/zk6wza9CXM
$SPX,2016-10-20,Thu Oct 20 23:44:43,en,0,5,789251028734644224,RT @VolatilityWiz: $VIX $SPX $VXX Not much election fear priced into SPX options looking at the term structure: https://t.co/qNNbmQbi4O
$SPX,2016-10-20,Thu Oct 20 23:41:52,en,0,1,789250309587660800,"RT @KartikG85: $SPY According to my math, we are back to a realized volatility of less than 10. We are at 9.57 with the $VIX at 13.75. $SPX…"
$SPX,2016-10-20,Thu Oct 20 23:41:41,en,0,5,789250265211924480,RT @OrangeTrader: The divergence since early 2015 in this chart caught my eye.  Then I realized that non-GAAP buried his brother GAAP a few…
$SPX,2016-10-20,Thu Oct 20 23:41:36,en,0,1,789250244974374913,$ES_F $SPY $SPX Majority BEARISH in the Caves &amp; Hidin' = WAVE1 Higher ...then SELL/SHORT https://t.co/zk6wza9CXM
$SPX,2016-10-20,Thu Oct 20 23:40:28,en,0,0,789249957526142977,$SPY $SPX The fed is in so deep it will take ? 5/10 years to clean the books. If they even unload them at all.  https://t.co/Vk9lb1y9P9
$SPX,2016-10-20,Thu Oct 20 23:38:41,en,1,1,789249509352243200,"$ES_F $SPX $SPY $DJIA $MACRO  "" The 5th-GRADE VERSION ""  : Focus &amp; ACT Accordingly "" https://t.co/wwS3LIwLV3"
$SPX,2016-10-20,Thu Oct 20 23:36:23,en,0,1,789248932492836864,"$SPY According to my math, we are back to a realized volatility of less than 10. We are at 9.57 with the $VIX at 13.75. $SPX $ES_F"
$SPX,2016-10-20,Thu Oct 20 23:33:50,en,0,1,789248288587472896,"RT @359_Peterbilt: $SPY $SPX $ES_F A/D, Vol, RSI, MA's, Put/Call Ratio.  Daily Charts https://t.co/c2sNgWkA4K"
$SPX,2016-10-20,Thu Oct 20 23:33:00,en,0,0,789248080268832768,"Recap of today’s #market activity, #news after the close https://t.co/ArBMEFRgD7 $SPX $DJIA $COMPQ $USD #futures #stocks #economy #earnings"
$SPX,2016-10-20,Thu Oct 20 23:32:00,en,1,0,789247829663485952,BreakoutStocks: This is what could help stocks break out Friday - https://t.co/bthlp8e5b0 $spy $spx
$SPX,2016-10-20,Thu Oct 20 23:31:04,en,0,2,789247592584675328,RT @SleemStockPicks: Learn how to analyze a candlestick stock chart: https://t.co/1vTHZgIOJa #daytrade #stocks #stocktrading $SPY $SPX $VXX…
